Id,Name,aforza__Account__c,aforza__Attribute__c,aforza__Product__c,aforza__Value__c,aforza__Account__r.Name,aforza__Attribute__r.aforza__Code__c,aforza__Product__r.StockKeepingUnit
a0A2z000000B0hBEAS,AAS-00000974,0012z00000CGK0dAAH,a0C2z000000B59OEAS,,England,CORTON BEACH BLACKPOOL LTD,AA-0010,
a0A2z000000B0hCEAS,AAS-00000975,0012z00000CGK0eAAH,a0C2z000000B59OEAS,,England,BACCA SHOP,AA-0010,
a0A2z000000B0hDEAS,AAS-00000976,0012z00000CGJyXAAX,a0C2z000000B59OEAS,,England,C & D TRADING,AA-0010,
a0A2z000000B0hEEAS,AAS-00000977,0012z00000CGJyYAAX,a0C2z000000B59OEAS,,England,MIDDLETON CONVENIENCE STORE,AA-0010,
a0A2z000000B0hFEAS,AAS-00000978,0012z00000CGJyZAAX,a0C2z000000B59OEAS,,England,RED ROSE FILLING STATION,AA-0010,
a0A2z000000B0hGEAS,AAS-00000979,0012z00000CGJyaAAH,a0C2z000000B59OEAS,,England,AYAAN BUTCHER & GROCERY,AA-0010,
a0A2z000000B0hHEAS,AAS-00000980,0012z00000CGJybAAH,a0C2z000000B59OEAS,,England,AK & HH LTD T/A HAJI CASH & CARRY,AA-0010,
a0A2z000000B0hIEAS,AAS-00000981,0012z00000CGJycAAH,a0C2z000000B59OEAS,,England,VILLA STORE,AA-0010,
a0A2z000000B0hKEAS,AAS-00000983,0012z00000CGJyeAAH,a0C2z000000B59OEAS,,England,ARYAN MINI MARKET,AA-0010,
a0A2z000000B0hLEAS,AAS-00000984,0012z00000CGJyfAAH,a0C2z000000B59OEAS,,England,SHREEJI NEWS,AA-0010,
a0A2z000000B0hMEAS,AAS-00000985,0012z00000CGJygAAH,a0C2z000000B59OEAS,,England,RAJA BROTHERS,AA-0010,
a0A2z000000B0hNEAS,AAS-00000986,0012z00000CGJyhAAH,a0C2z000000B59OEAS,,England,THE HAVEN,AA-0010,
a0A2z000000B0hOEAS,AAS-00000987,0012z00000CGJyiAAH,a0C2z000000B59OEAS,,England,SCOTCH CORNER,AA-0010,
